,OPEID6L,INSTNM,CITY,STABBR,ZIP,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG_ALL,HIGHDEG,HBCU,PBI,HSI,NANTI,CCUGPROF,CCSIZSET,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,COSTT4_A,AVGFACSAL,C150_4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,FEMALE,MN_EARN_WNE_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,GT_THRESHOLD_P10,CONTROL,Number of Unique Majors Offered (Bachelors,Co-Ed
1301,12880.0,Celebrity Stylist Beauty School,Monroe,LA,71201-5135,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,1.0,0.0,0.0,,,,,,,,0.7083333333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,True
1302,23278.0,Pineville Beauty School,Pineville,LA,71360-0000,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.8846,0.0192,0.0385,0.0,,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,True
1303,26009.0,Aveda Arts & Sciences Institute-Covington,Covington,LA,70433,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.5011,0.2311,0.1754,0.015,,,,,,,,0.9529061103,27400,PrivacySuppressed,PrivacySuppressed,0.4136,,,True
1304,2027.0,Saint Joseph Seminary College,St. Benedict,LA,70457,1.0,0.0,,,3,0.0,0.0,0.0,0.0,11.0,8.0,0.5794,0.0093,0.2804,0.0748,38070.0,3610.0,0.625,0.6,,1.0,1.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,Foreign,16.0,False
1305,25183.0,LaSalle Tech,Houma,LA,70363,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.4458,0.2375,0.2958,0.0208,,,,,,,,PrivacySuppressed,15500,PrivacySuppressed,PrivacySuppressed,,,,True
1306,5761.0,Fletcher Technical Community College,Schriever,LA,70395,0.0,0.0,,,2,0.0,0.0,0.0,0.0,2.0,2.0,0.583,0.2182,0.0473,0.0086,14386.0,5067.0,,,,,,0.6943268417,33400,26100,50300,0.4434,,,True
1307,30265.0,Remington College-Lafayette Campus,Lafayette,LA,70503,0.0,0.0,,,2,0.0,0.0,0.0,0.0,4.0,1.0,0.3311,0.6284,0.0169,0.0034,26820.0,3667.0,,,,,,0.7714097497,28100,26200,35300,0.4004,,,True
1308,5467.0,SOWELA Technical Community College,Lake Charles,LA,70615,0.0,0.0,,,2,0.0,0.0,0.0,0.0,2.0,3.0,0.6242,0.2507,0.0362,0.0064,14960.0,5261.0,,,,,,0.5797373358,44000,32000,56900,0.5882,,,True
1309,22693.0,Stevensons Academy of Hair Design,New Orleans,LA,70114,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.9927,0.0,0.0073,,,,,,,,0.62,19900,PrivacySuppressed,PrivacySuppressed,0.3188,,,True
1310,2024.0,Southeastern Louisiana University,Hammond,LA,70402,0.0,0.0,0.9737,1105.0,4,0.0,0.0,0.0,0.0,12.0,15.0,0.6413,0.2226,0.0672,0.0078,21073.0,6896.0,0.4013,0.4367,0.265,0.3927,0.4737,0.6394316163,42800,35300,53100,0.6922,Foreign,1.0,True
1311,2025.0,Southern University and A & M College,Baton Rouge,LA,70813,0.0,0.0,0.4345,975.0,4,1.0,0.0,0.0,0.0,11.0,13.0,0.0164,0.9305,0.008,0.0028,23592.0,7042.0,0.2822,0.1765,0.2859,0.0,0.5,0.6367601246,39600,35100,45300,0.6344,Foreign,1.0,True
1312,2026.0,Southern University at New Orleans,New Orleans,LA,70126,0.0,0.0,0.72,925.0,4,1.0,0.0,0.0,0.0,11.0,10.0,0.0222,0.8819,0.0139,0.0139,16762.0,6169.0,0.1884,,0.192,0.0,,0.7254716981,32100,29900,36000,0.5633,Public,15.0,True
1313,7686.0,Southern University at Shreveport,Shreveport,LA,71107,0.0,0.0,,,2,1.0,0.0,0.0,0.0,2.0,3.0,0.0711,0.8816,0.0142,0.0041,15051.0,4923.0,,,,,,0.6566682049,29800,27600,35600,0.5121,,,True
1314,2031.0,University of Louisiana at Lafayette,Lafayette,LA,70503,0.0,0.0,0.6728,1148.0,4,0.0,0.0,0.0,0.0,13.0,15.0,0.62,0.2172,0.0624,0.0247,22948.0,8214.0,0.5117,0.5473,0.4157,0.4255,0.6714,0.6164128596,46400,37400,57800,0.7001,"Private, for-profit",3.0,True
1315,6756.0,Northshore Technical Community College,Lacombe,LA,70445,0.0,0.0,,,2,0.0,0.0,0.0,0.0,1.0,3.0,0.5343,0.3451,0.0441,0.0042,15152.0,4968.0,,,,,,0.6069397042,,,,0.4392,,,True
1316,2029.0,Tulane University of Louisiana,New Orleans,LA,70118-5698,0.0,0.0,0.1111,1427.0,4,0.0,0.0,0.0,0.0,14.0,17.0,0.691,0.0645,0.084,0.0503,75628.0,12085.0,0.8577,0.8736,0.7119,0.8265,0.8143,0.6045479756,86300,75000,100600,0.7673,"Private, for-profit",1.0,True
1317,2032.0,Xavier University of Louisiana,New Orleans,LA,70125-1098,0.0,0.0,0.8062,1112.0,4,1.0,0.0,0.0,0.0,12.0,11.0,0.016,0.8317,0.048,0.028,36391.0,9272.0,0.4974,0.6667,0.4614,0.5,0.7451,0.7478510029,64500,63300,68000,0.7704,"Private, for-profit",385.0,True
1318,11385.0,College of the Atlantic,Bar Harbor,ME,04609,0.0,0.0,0.758,,4,0.0,0.0,0.0,0.0,12.0,7.0,0.6374,0.0082,0.0467,0.022,54899.0,8453.0,0.6582,0.6275,,0.4286,1.0,0.7826086957,27800,PrivacySuppressed,PrivacySuppressed,0.64,,,True
1319,2036.0,Bates College,Lewiston,ME,04240,0.0,0.0,0.141,,3,0.0,0.0,0.0,0.0,14.0,11.0,0.6748,0.0565,0.0709,0.049,73538.0,11132.0,0.9246,0.9157,0.9524,0.9231,1.0,0.491638796,74300,63200,83600,0.8889,Foreign,2.0,True
1320,5204.0,Beal University,Bangor,ME,04401,0.0,0.0,,,2,0.0,0.0,0.0,0.0,3.0,1.0,0.8032,0.0203,0.0203,0.002,,4682.0,0.6291,0.6309,,1.0,0.0,0.6280701754,23100,22000,27500,,,,True
1321,2038.0,Bowdoin College,Brunswick,ME,04011,0.0,0.0,0.0916,,3,0.0,0.0,0.0,0.0,14.0,11.0,0.5619,0.0771,0.1064,0.0935,73800.0,12445.0,0.9499,0.9494,0.96,0.9516,0.9655,0.5064102564,83300,71500,93100,0.822,"Private, nonprofit",12.0,True
1322,6305.0,Maine College of Health Professions,Lewiston,ME,04240,0.0,0.0,0.45,975.0,3,0.0,0.0,0.0,0.0,1.0,1.0,0.8704,0.037,0.0139,0.0231,23255.0,6225.0,1.0,1.0,,,,0.9189189189,53100,PrivacySuppressed,PrivacySuppressed,,,,True
